repo_name,component_id,link_url,node_1_type,node_1_id,node_1_author,node_1_num_comment,node_2_type,node_2_id,node_2_author,node_2_num_comments,Link Type,Quotes
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/413#issue-254850144,issue,413,https://github.com/casesandberg,16,pull_request,366,https://github.com/pconerly,7,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/621#issue-452964176,issue,621,https://github.com/tanth1993,1,pull_request,670,https://github.com/casesandberg,0,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/issues/365#issuecomment-310524468,issue,365,https://github.com/pconerly,4,pull_request,369,https://github.com/pconerly,1,other,
casesandberg/react-color,16428,https://github.com/casesandberg/react-color/pull/670#issue-546997262,pull_request,670,https://github.com/casesandberg,0,pull_request,632,https://github.com/kgapich,0,other,
,,,,,,,,,,,,
Activiti/Activiti,430,https://github.com/Activiti/Activiti/issues/3518#issuecomment-765341128,issue,3518,https://github.com/Raluca-Plugariu,1,pull_request,3519,https://github.com/Raluca-Plugariu,2,fixes,Fixed in #3519
,,,,,,,,,,,,
mgonto/restangular,34735,https://github.com/mgonto/restangular/issues/538#issuecomment-33058227,issue,538,https://github.com/joshikeerti,1,issue,420,https://github.com/zoheb,27,duplicate,#420 (comment) would do exactly what you need.
mgonto/restangular,34735,https://github.com/mgonto/restangular/issues/720#issuecomment-44606412,issue,720,https://github.com/ZAYEC77,2,issue,420,https://github.com/zoheb,27,uses,"It'd be done the same way you'd do it with $http.

This might actually help out: #420 (comment)"
mgonto/restangular,34735,https://github.com/mgonto/restangular/issues/1376#issue-156734982,issue,1376,https://github.com/turoni,2,issue,420,https://github.com/zoheb,27,similar,"My problem isn't fixed so I'm not sure if I understand completely but I was under the presumption that by using multipart/formdata in my html form it was already formatted correctly but apparently it was not so I've been able to add it like in #420. As I said, my problem isn't solved so I'm only pretty sure the problem is serverside but I'll close this for now till I know more."
mgonto/restangular,34735,https://github.com/mgonto/restangular/issues/420#issuecomment-76689677,issue,420,https://github.com/zoheb,27,pull_request,1068,https://github.com/steinerj,10,fixes,"I'm having the exact same issue with using httpConfigs for objects created with .service

I have provided a PR, because I think this is a bit of a inconsistency. See #1068"
mgonto/restangular,34735,https://github.com/mgonto/restangular/pull/1068#issuecomment-226704399,pull_request,1068,https://github.com/steinerj,10,pull_request,1392,https://github.com/madflow,4,improves,This PR replaces #1068.
,,,,,,,,,,,,
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2250#issue-350252537,pull_request,2250,https://github.com/Chancelife,2,issue,1713,https://github.com/ralf0131,4,fixes,#1713
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2264#issue-350259986,pull_request,2264,https://github.com/131250105,1,issue,1713,https://github.com/ralf0131,4,fixes,"What is the purpose of the change
To solve issue: support log4j2 #1713"
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2266#issue-350260588,pull_request,2266,https://github.com/hexiloveecho,0,issue,1713,https://github.com/ralf0131,4,fixes,"Fix issue #1713 , by BaiJi the 269th team3"
,,,pull_request,2279,,,issue,1713,,,fixes,"#1713
to add log4j2 for dubbo."
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2280#issue-350267093,pull_request,2280,https://github.com/noahziheng,1,issue,1713,https://github.com/ralf0131,4,fixes,"Resolve #1713
Add log4j2 support for logger."
apache/dubbo,13361,https://github.com/apache/dubbo/pull/2285#issue-350267704,pull_request,2285,https://github.com/jrjsjtu,0,issue,1713,https://github.com/ralf0131,4,fixes,Fixed issue #1713.
